about	round	around
on	over	about
have gone to abroad	have gone abroad
["all your" "trials"]	["all your" "efforts"]
all its trials	all its efforts
all her trials	all her efforts
all his trials	all his efforts
all their trials	all their efforts
effort	attempt	try
trials	attempt	try
attempt of	attempted
neither	either
elastic	elastic band	rubber band	some elastic
elder than	older than
elder	older
eldest	oldest
electric	electronic	electrical
electronic	electric
electrical	electric
power	electricity	electrical power
["one" "else"]	["one" "other"]
other	else
some else	some more
some other	some more
some else	another
some other	another
embark	board	launch
emigrate	migrate
immigrate	migrate
migrate	emigrate
immigrate	emigrate
emission	broadcast
["put" "emphasis on"]	["give" "emphasis on"]
empty	blank
shiny	blank
finish	end
["end" "with"]	["finish" "with"]
energetic	effective
enervate me	get on my nerves
enervate us	get on our nerves
enervate you	get on you nerves
enervate her	get on her nerves
enervate him	get on his nerves
enervate them	get on their nerves
enervating	annoying
be enervating	get on my nerves
["engaged" "in"]	["involved" "in"]
["involve" "in"]	["engage" "in"]
machine	motor
engine	motor
engineer	mechanic
mechanic	engineer
engineer	technician	mechanic
make	learn	do
enjoy with	enjoy
enjoy	amuse	entertain
amuse	entertain
enjoy	entertain
enjoy with	enjoy
enjoy	amuse	entertain
please myself	enjoy myself
please ourselves	enjoy ourselves
please yourself	enjoy yourself
please yourselves	enjoy yourselves
please itself	enjoy itself
please herself	enjoy herself
please himself	enjoy himself
please themselves	enjoy themselves
enjoy	please	have a good time
enlarge	stretch
enough of	enough	fairly
["to" "it"]	to
enter	come in	hullo
say	hullo
speak to me	hullo
enter	get into
["enter" "into"]	["get" "into"]
amusements	entertainments
entire truth	whole truth
all the truth	the whole truth
my whole	all my
our whole	all our
your whole	all your
its whole	all its
her whole	all her
his whole	all his
their whole	all their
my entire	all my
our entire	all our
your entire	all your
its entire	all its
her entire	all her
his entire	all his
their entire	all their
all	whole	entire
entrance	entry
envy	jealousy
equal	all the same
same	equal
equal	level	flat	even
equally as	equally
escape from	escape
especially	specially
essence	petrol	gasoline
estimate	esteem	respect	value
value	estimate
esteem	estimate
evaluate	estimate
estimate	value
esteem	value
evaluate	value
evade from	escape from
evasion	flight
afternoon	noon	midday
eventual	possible	final
eventually	possibly	perhaps	finally
["have" "ever"]	["have" "never"]
evidence	proof
evidently	of course
evoke	refer to	mention
["refer" "to"]	["mention" "to"]
["give" "exam"]	["sit" "exam"]	["sit for" "exam"]	["take" "exam"]	["do" "exam"]	["have" "exam"]
["exam" "give"]	["exam" "sit"]	["exam" "take"]	["exam" "do"]	["exam" "have"]
["make" "exam"]	["sit" "exam"]	["sit for" "exam"]	["take" "exam"]	["do" "exam"]	["have" "exam"]
["exam" "make"]	["exam" "sit"]	["exam" "take"]	["exam" "do"]	["exam" "have"]
["stay in my" "exam"]	["fail" "exam"]
["stay in our" "exam"]	["fail" "exam"]
["stay in your" "exam"]	["fail" "exam"]
["stay in its" "exam"]	["fail" "exam"]
["stay in her" "exam"]	["fail" "exam"]
["stay in his" "exam"]	["fail" "exam"]
["stay in their" "exam"]	["fail" "exam"]
stay in my exam	fail in an exam
stay in our exam	fail in an exam
stay in your exam	fail in an exam
stay in its exam	fail in an exam
stay in her exam	fail in an exam
stay in his exam	fail in an exam
stay in their exam	fail in an exam
examine	ask
["show" "example"]	["give" "example"]
["example" "show"]	["example" "give"]
["make" "example"]	["give" "example"]
["example" "make"]	["example" "give"]
["do" "example"]	["give" "example"]
["example" "do"]	["example" "give"]
["give" "example"]	["set" "example"]
["example" "give"]	["example" "set"]
example	copy	specimen	sample
specimen	sample
example	sample
except	besides
except for	besides
exceptional	extraordinary	strange	peculiar
exiting	sexy
["go for" "excursion"]	["go on" "excursion"]
["excuse myself" "for"]	["apologize" "for"]
["excuse ourselves" "for"]	["apologize" "for"]
["excuse yourself" "for"]	["apologize" "for"]
["excuse yourselves" "for"]	["apologize" "for"]
["excuse itself" "for"]	["apologize" "for"]
["excuse herself" "for"]	["apologize" "for"]
["excuse himself" "for"]	["apologize" "for"]
["excuse themselves" "for"]	["apologize" "for"]
excuse myself for	make an apology for
excuse ourselves for	make an apology for
excuse yourself for	make an apology for
excuse yourselves for	make an apology for
excuse itself for	make an apology for
excuse herself for	make an apology for
excuse himself for	make an apology for
excuse themselves for	make an apology for
excuse me	sorry	I'm sorry
pardon	sorry	I'm sorry
pardon me	sorry	I'm sorry
forgive me	sorry	I'm sorry
pardon me	excuse me
sorry	excuse me
forgive me	excuse me
excuse me	sorry	I beg your pardon
forgive me	sorry	I beg your pardon
pardon	sorry	I beg your pardon
pardon me	sorry	I beg your pardon
["make" "exercise"]	["take" "exercise"]
["exercise" "make"]	["exercise" "take"]
["do" "exercise"]	["take" "exercise"]
["exercise" "do"]	["exercise" "take"]
["take" "exercise"]	["do" "exercise"]
["exercise" "take"]	["exercise" "do"]
exercise	practise	practice
drill	practise	practice
train	practise	practice
exercise	drill
practise	drill
practice	drill
train	drill
["exercise" "in"]	["train" "in"]
["drill" "in"]	["train" "in"]
["practise" "in"]	["train" "in"]
["practice" "in"]	["train" "in"]
drill	train
practise	train
practice	train
train	exercise
practise	exercise
practice	exercise
drill	exercise
exhibition	display
exposition	display
display	exhibition	show
exposition	exhibition	show
exodus	exit
I expect	I expect so
I expect it	I expect so
experience	experiment
expert	specialist
explain	explain to
exportation	export
importation	import
expose	display	show
exhibit	display	show
expose	exhibit	display	show
put	expose
["be" "put at risk to"]	["be" "exposed to"]
extension	spread
exterior	abroad	foreign
abroad	foreign
exterior	outside	external	outer	outside
extra	best	finest
best quality	fine
choice	fine
extravagant	eccentric
fabric	factory
fabrication	manufacture
face with	be facing	figure
grimace	pull faces	make faces
faction	party
["fall" "on"]	["bump" "into"]
artificial	processed
false	fake	imitation
forged	fake	imitation
false	faked	forged	wrong
fame	rumour	rumor	reputation
character	reputation
familiar friend	family friend
well-known	familiar
famine	starvation
fantasize	imagine
fancy	imagine
imagine	fantasize about
fancy	fantasize about
fantastic	imaginary
fantasy	imagination	originality
["far" "from"]	["" "from"]	["away" "from"]
["far away" "from"]	["" "from"]	["away" "from"]
farce	practical joke	slapstick
practical trick	slapstick
fat	get fat
fatten	get fat
fault	blame
accuse	blame
blame	fault
accuse	fault
["accuse" "for"]	["accuse" "of"]
fault	mistake
defect	mistake
mistake	fault	defect
defect	fault
mistake	defect	fault
favour	charm
favor	charm
grace	charm
favour	sake
favor	sake
what grace	how charming
afraid	afraid of
["afraid" "from"]	["afraid" "of"]
have fear of	be afraid of
["do" "have fear of"]	["be" "afraid of"]
["I not" "afraid"]	["I'm not" "afraid"]
["I do not" "afraid"]	["I'm not" "afraid"]
it is afraid	it is feared
have fear	're afraid	be afraid
feast	banquet	holiday	party
fed up from	fed up	fed up with
feed	eat	nourish
["with the" "foot"]	["on" "foot"]
["by" "foot"]	["on" "foot"]
["do" "temperature"]	["have" "temperature"]
["temperature" "do"]	["temperature" "have"]
["make" "temperature"]	["have" "temperature"]
["temperature" "make"]	["temperature" "have"]
lesser	less
lesser	less
less	lesser	smaller
lesser	smaller
number	sum	figure	price
fill	get full	get full up
["get" "filled"]	["get" "full"]	["get" "full up"]
full up	full
it makes fine	it's fine
finish	end
finish from	finish
["set" "fire"]	["light" "fire"]
["fire" "set"]	["fire" "light"]
fire	light a fire
["light" "light"]	["turn on" "light"]	["turn" "light on"]
["light" "light"]	["light" "turn on"]
firm	signature	trademark
January	of January
February	of February
March	of March
April	of April
May	of May
June	of June
July	of July
August	of August
September	of September
October	of October
November	of November
December	of December
first	at first
firstly	at first
["at" "beginning"]	["at" "first"]
["in" "beginning"]	["at" "first"]
firstly	in the beginning	at first
at first	first
firstly	first
first aid	ambulance
["in" "first time"]	["" "first time"]
the first time	for the first time
have a fit	have a fitting
come for a fit	come for a fitting
fitting	fit
fit	suit
match	suit
suit	fit
match	fit
match with	match
is matching with	match
am matching	match
fit	match
suit	match
flannel	vest
vest	waistcoat
flatly	flat
flesh	meat
flowed	flew	flown
flew	flowed
flipper	pinball
flirt	flirtation
make flirt	flirt
do flirt	flirt
people	folk
follow	watch	attend
foot	leg
step	pace
footstep	pace
pace	footstep
step	footstep
["take" "footstep"]	["take" "step"]	["take" "pace"]
["footstep" "take"]	["step" "take"]	["pace" "take"]
["make" "step"]	["take" "step"]	["take" "pace"]
["step" "make"]	["step" "take"]	["pace" "take"]
["do" "step"]	["take" "step"]	["take" "pace"]
["step" "do"]	["step" "take"]	["pace" "take"]
["make" "step"]	["do" "step"]
["step" "make"]	["step" "do"]
for to	to
to	[""]
forbid me that I should	forbid me to
forbid us that we should	forbid us to
forbid you that you should	forbid you to
forbid it that it should	forbid it to
forbid she that she should	forbid her to
forbid he that he should	forbid him to
forbid them that they should	forbid them to
prohibit me that I should	forbid me to
prohibit us that we should	forbid us to
prohibit you that you should	forbid you to
prohibit it that it should	forbid it to
prohibit she that she should	forbid her to
prohibit he that he should	forbid him to
prohibit them that they should	forbid them to
it is forbidden	no
it is prohibited	no
force	strength
power	strength
["with" "force"]	["by" "force"]
["with" "strength"]	["by" "force"]
force	power
strength	power
forceful	strong	powerful
powerful	strong
["have" "forgotten"]	["'ve" "left"]
grade	class
form	class	make up
make up	form
form	mould
formidable	terrific	tremendous	fantastic	marvellous	super
formula	prescription
fortune	luck
chance	luck
["by" "fortune"]	["by" "chance"]	["by" "luck"]
found	find
fountain	spring
source	spring
spring	source
fountain	source
fowl	chicken
hen	chicken
fowl	poultry
frank	honest
freely	free	single
fresh	impertinent
friendly	in a friendly way
friendlily	in a friendly way
frighten	startle
startle	scare
frighten	scare
from	of
from now	from now on
complete	full
fully	full
["full" "of"]	["filled" "with"]
["full" "with"]	["filled" "with"]	["full" "of"]
["full" "from"]	["full" "of"]
fumigate	smoke
fume	smoke
smoke	fumigate
fume	fumigate
enjoy	have fun
fun	enjoyment	pleasure
enjoyment	fun	pleasure
["n't" "function"]	["n't" "work"]
["n't" "run"]	["n't" "work"]
furnace	oven
["furnish" "with"]]	["supply" "with"]
supply	["supply" "with"]
provide	["provide" "with"]
["furnish" "with"]]	["provide" "with"]
furniture	piece of furniture
gain	earn
win	gain
gallon	gold braid
["do" "game"]	["have" "game"]
["game" "do"]	["game" "have"]
["make" "game"]	["have" "game"]
["game" "make"]	["game" "have"]
gather	["pick" "up"]
pick	["pick" "up"]
gather	["pick" "up"]
["pick" "up"]	gather	pick
pick	gather
["gaze" "at"]	["stare" "at"]
["gape" "at"]	["stare" "at"]
sex	gender
genial	gifted
genie	genius
genius person	genius
["gentle" "of"]	["kind" "of"]
["kind" "with"]	["kind" "to"]
kind	polite
gentle	polite	genteel
polite	genteel
gesture	shake hands
["get rid" "from"]	["get rid" "of"]
girl	young woman
giro	short walk	short turn
give to	glad	happy
["glad" "for"]	["glad" "about"]
["happy" "for"]	["happy" "about"]
["glad" "with"]	["glad" "about"]	["happy" "with"]
["glad" "for"]	["glad" "of"]
["catch" "glance"]	["catch" "glimpse"]
glass	jar	pair of glasses
glassy	glass
do bow-wow	go bow-wow
make bow-wow	go bow-wow
do miaow-miaow	go miaow-miaow
make miaow-miaow	go miaow-miaow
golden	gold	wonderful
["good" "in"]	["good" "at"]
["make" "good"]	["do" "good"]
good	nice	well
well	good
gossip	a lot of gossip
be	get
grade	mark
degree	mark	grade
grade	degree
mark	degree
grade	rank
degree	rank
grand	big	large	tall	great	important
big	great	important
large	great	important
tall	great	important
gross	great	important
great	grand
herb	grass
grass	grease	oil
gratified	grateful	obliged to
grateful	obliged
grease	oil
fatty	greasy	oily
green	go green	turn green	get green
get green	go green	turn green
grey	go grey
gray	go gray
grill	toast
roast	toast	toasted
toast	grill
roast	grill	grilled
grippe	flu
do flu	have flue
make flu	have flue
gross	fat	large
bottom floor	ground floor	first floor
["to" "floor"]	["on" "floor"]
["in" "floor"]	["on" "floor"]
grow	grow up	["bring" "up"]
guard	look after	keep
watch	look after	keep
["guard myself" "from"]	["guard" "against"]
["guard ourselves" "from"]	["guard" "against"]
["guard yourself" "from"]	["guard" "against"]
["guard yourselves" "from"]	["guard" "against"]
["guard itself" "from"]	["guard" "against"]
["guard herself" "from"]	["guard" "against"]
["guard himself" "from"]	["guard" "against"]
["guard themselves" "from"]	["guard" "against"]
guard	keeper
warden	keeper
guardian	keeper
guilty	valid
valuable	valid
["guilty" "for"]	["guilty" "of"]
["guilty" "with"]	["guilty" "of"]
gum	rubber	eraser
rubber	tyre	tire
gymnasium	grammar school
["finish" "gymnasium"]	["leave" "school"]
["gymnastic" "finish"]	["school" "leave"]
finish the gymnasium	leave grammar school
habit	custom
hairdresser	hairdresser's
halt	hold	keep
["to" "hand"]	["at" "hand"]	["on" "hand"]
["with" "hand"]	["by" "hand"]
handle	business
hanged	hung
happen	take place
occur	take place	happen
take place	happen
hard	cruel	tough
cruel	tough
get hard	harden	["make" "hard"]
hardly	harden
["make" "harm to"]	["do" "harm to"]
["do" "bad to"]	["do" "harm to"]
it does no bad	it does no harm
it doesn't do bad	it does no harm
["hate" "should"]	["hate" "to"]
["'ve gone"]	["'ve been"]
mustn't	don't have to
["have my" "head"]	["have" "headache"]	["'ve got" "headache"]
["have our" "head"]	["have" "headache"]	["'ve got" "headache"]
["have your" "head"]	["have" "headache"]	["'ve got" "headache"]
["have its" "head"]	["have" "headache"]	["'ve got" "headache"]
["have her" "head"]	["have" "headache"]	["'ve got" "headache"]
["have his" "head"]	["have" "headache"]	["'ve got" "headache"]
["have their" "head"]	["have" "headache"]	["'ve got" "headache"]
["do" "headache"]	["have" "headache"]	["get" "headache"]
["headache" "do"]	["headache" "have"]	["headache" "get"]
["make" "headache"]	["have" "headache"]	["get" "headache"]
["headache" "make"]	["headache" "have"]	["headache" "get"]
["healthy" "for"]	["good" "for"]
healthy	hygienic	sanitary
["hear" "to"]	hear
listen	listen to
listen to	hear
["listen to" "to"]	listen to
hear	listen
obey	listen
obey to	obey
listen to	hear
obey	hear
["heard" "for"]	["heard" "of"]
["heard" "about"]	["heard" "of"]
["heard" "for"]	["heard" "about"]
["heard" "of"]	["heard" "about"]
heaven	sky
heritage	inheritance
["jump" "highly"]	["jump" "high"]
high	highly
high school	college
hill	mountain
let	rent
hire	rent
let	hire	rent
for rent	to let
["to" "let"]	["for" "hire"]
["for" "rent"]	["for" "hire"]
["to" "hire"]	["for" "hire"]
historic	historical
history	story
hold	catch
keep	catch
hold	catch
take	catch
catch	hold
hollow	empty
vacant	empty
hollow	empty	vacant
["to" "home"]	["at" "home"]	home
to home	home
at home	home
to home	home
["leave from" "home"]	["leave" "home"]
["home" "leave from"]	["home" "leave"]
stay to home	stay home
["home" "stay to"]	["home" "stay"]
["stay" "to home"]	["stay" "at home"]
arrive to home	arrive home
["home" "arrive to"]	["home" "arrive"]
arrive in home	arrive home
["home" "arrive in"]	["home" "arrive"]
arrive at home	arrive home
["home" "arrive at"]	["home" "arrive"]
house	at home
["at" "house"]	["at" "home"]
["to" "house"]	["at" "home"]
homework	housework
["make" "housework"]	["do" "housework"]
["housework" "make"]	["housework" "do"]
["make" "homework"]	["do" "homework"]
["homework" "make"]	["homework" "do"]
credit	honour	honor
honour	credit
honor	credit
["to" "credit"]	["in" "honour"]	["in" "honor"]
["I" "hope"]	["I" "hope so"]
["I" "hope it"]	["I" "hope so"]
hope me to	hope that I'll	hope that I will	hope that I'd	hope that I would
hope us to	hope that we'll	hope that we will	hope that we'd	hope that we would
hope you to	hope that you'll	hope that you will	hope that you'd	hope that you would
hope it to	hope that it'll	hope that it will	hope that it'd	hope that it would
hope her to	hope that she'll	hope that she will	hope that she'd	hope that she would
hope him to	hope that he'll	hope that he will	hope that he'd	hope that he would
hope them to	hope that they'll	hope that they will	hope that they'd	hope that they would
host	guest
["it" "has hot"]	["it is" "hot"]
["does it" "have hot"]	["is it" "hot"]
["it" "makes hot"]	["it is" "hot"]
["does it" "make hot"]	["is it" "hot"]
["it" "makes heat"]	["it is" "hot"]
["does it" "make heat"]	["is it" "hot"]
have hot	're hot	are hot
["do" "have hot"]	["am" "hot"]	["are" "hot"]
heat	get hot
hound	dog
hour	time
o'clock	time
hour	o'clock
["past" "o'clock"]	past
past	minutes past
housemaid	homemade
as if	like
["how" "like"]	how	["what" "like"]
how long ago	how long
["what" "costs"]	["how much does it" "cost"]
how much time	how long
damp	dampness
humidity	dampness
dampness	damp
humidity	damp
moisture	damp	humidity
dampness	humidity
humidity	condensation
dampness	condensation
hundred	one hundred
hundred of	hundred
hundred of hundred	hundred per cent
hundred by hundred	hundred per cent
have hunger	're hungry	are hungry
hungry	hungry person
hurry	're in a hurry	are in a hurry
hymn	anthem
psalm	anthem
anthem	hymn
psalm	hymn
ice	some ice
icon	image	picture
image	picture
icon	picture
image	icon
picture	icon
idiomatic	proverbial
lazy	idle
ignorant	badly brought up
ill	sick
ill of	ill with
I imagine	I imagine so
I imagine it	I imagine so
imitate	forge
it's indifferent	it doesn't matter to me
immobile	property	real estate
real estate	property
immobile	property
important	considerable
["it" "imposes"]	["it is" "essential"]	["it is" "vital"]	it is essential for
it imposes	it is vital for
["does it" "impose"]	["is it" "essential"]
does it impose	is it vital	is it essential for	is it vital for
impose on	impress
impose myself on	manage
impose ourselves on	manage
impose yourself on	manage
impose yourselves on	manage
impose itself on	manage
impose herself on	manage
impose himself on	manage
impose themselves on	manage
imposition	tax
impotent of	incapable of
incapable	impotent
["impressed" "from"]	["impressed" "with"]
["impressed" "from"]	["impressed" "by"]
impress	affect	touch
["do" "impression"]	["make" "good impression"]
["impression" "do"]	["good impression" "make"]
["make" "impression"]	["do" "impression"]
["impression" "make"]	["impression" "do"]
["impression" "about"]	["impression" "of"]
impression	feeling	sense
["do" "impression"]	["give" "impression"]
["impression" "do"]	["impression" "give"]
impression	printing
at	to
to	in
["in all" "cases"]	["in any" "event"]	["in all" "respects"]	["in every" "respect"]
include	comprehend
thank you indeed	thank you very much indeed
thank you really	thank you very much indeed
["independent" "from"]	["independent" "of"]
index	forefinger	index finfger	indication
inside of	inside
indoors	inside
industry	company	firm
business	company	firm
industry	business
company	business
firm	business
mind your business	mind your own business
infamous	not famous
notorious	famous
["influence" "with"]	["influence" "on"]
["inform" "for"]	["inform" "about"]	["inform" "of"]
["take" "information"]	["give" "information"]	["get" "information"]
["information" "take"]	["information" "give"]	["information" "get"]
information	news
["dwell" "on"]	["live" "on"]
dwell on	inhabit
["live" "from"]	["live" "on"]
["live" "with"]	["live" "on"]
["do" "injection"]	["give" "injection"]
["injection" "do"]	["injection" "give"]
["make" "injection"]	["give" "injection"]
["injection" "make"]	["injection" "give"]
["with" "ink"]	["in" "ink"]
guesthouse	inn	pub
pension	guesthouse	board and lodging	bed and board
["do" "inquiry"]	["make" "inquiry"]
inscribe	enroll	register
["insensible" "to"]	["insensitive" "to"]
insensible to	insensible of
insist me to have	insist that I have	insist that I should have
insist us to have	insist that we have	insist that we should have
insist you to have	insist that you have	insist that you should have
insist it to have	insist that it have	insist that it should have
insist her to have	insist that she have	insist that she should have
insist him to have	insist that he have	insist that he should have
insist them to have	insist that they have	insist that they should have
instant	moment
instructions	directions
instrument	tool
heart insult	heart attack
heart injury	heart attack
attack my heart	give me a heart attack
attack our heart	give us a heart attack
attack your heart	give you a heart attack
attack her heart	give her a heart attack
attack his heart	give him a heart attack	cause him a heart attack
attack their heart	give them a heart attack
injury	insult
offence	insult
["cause" "injury"]	["cause" "offence"]
["injury" "cause"]	["offence" "cause"]
["cause" "insult"]	["cause" "offence"]
["insult" "cause"]	["offence" "cause"]
intensive	intense
["interested" "for"]	["interested" "in"]
["interested" "with"]	["interested" "in"]
in an interesting condition	expecting a baby	pregnant
to the interior	inland
interior	inner
interrupter	light switch
["do" "interview"]	["go for" "interview"]	["have" "interview"]
["interview" "do"]	["interview" "have"]
intrigue	plot
introduce	["introduce" "to"]
invalids	war-wounded	wounded
think	think so
think it	think so
jealous	jealous of
jewellery	piece of jewellery
["make" "job"]	["do" "job"]
join with	join
join to	join
["make" "joke"]	["play" "joke"]
["make" "trick"]	["play" "trick"]
["do" "joke"]	["play" "joke"]
["do" "trick"]	["play" "trick"]
journal	newspaper	paper	diary
journey	trip
voyage	trip
travel	trip
voyage	journey	trip
travel	journey	trip	voyage	journey	trip
["do" "journey"]	["go on" "journey"]	["make" "journey"]
["journey" "do"]	["journey" "go on"]	["journey" "make"]
["do" "trip"]	["go on" "trip"]	["make" "trip"]
["trip" "do"]	["trip" "go on"]	["trip" "make"]
["do" "voyage"]	["go on" "voyage"]	["make" "voyage"]
["voyage" "do"]	["voyage" "go on"]	["voyage" "make"]
joyful	happy
["how do" "judge"]	["what do" "think of"]
just	fair
exact	fair	just
just	exact
justice	legal system
justly	exactly
["keen" "to"]	["keen" "on"]
kernel	pip
["give" "kick"]	kick
kitchen	cuisine	cooking	cookery
cooking	cookery
knock	hit
knock at	hit
knock	knock at
["knock" "to"]	["knock" "at"]
don't know	don't recognize	don't acknowledge
["know" "for"]	["know" "about"]
["know" "to"]	["know" "how to"]
laborious	hardworking
labourer	workman
laborer	workman
["lack" "from"]	["lack" "of"]
lack from	lack
lack of	lack
lack	lacquer
ladder	stair	staircase
step	stair	staircase
laid	lain
lied	lain
lain	laid
lied	laid
laid	lied
lain	lied
lamp	flash of lightning
light	flash of lightning
lamp	flashlight	torch
countryside	country
land	country
lard	bacon
large	generous	broad	wide
lastly	last	last of all
lastly of all	last	last of all	lastly
["laugh" "with"]	["laugh" "at"]
lavatory	washbasin	sink
laid	lay
leaden	lead
["learn" "to"]	["teach" "to"]
["learn" "for"]	["learn" "about"]
["go" "for holiday"]	["go" "on holiday"]
["do" "holiday"]	["have" "holiday"]	["take" "holiday"]
["make" "holiday"]	["have" "holiday"]	["take" "holiday"]
["holiday" "do"]	["holiday" "have"]	["holiday" "take"]
["holiday" "make"]	["holiday" "have"]	["holiday" "take"]
leave from	leave
leave	let	["allow" "to"]
allow	let	["allow" "to"]
let to	let
allow to	allow
lecture	reading material	reading matter
["do" "lecture"]	["give" "lecture"]
["lecture" "o"]	["lecture" "give"]
["make" "lecture"]	["give" "lecture"]
["lecture" "make"]	["lecture" "give"]
more good	better
["do" "lesson"]	["give" "lesson"]
["lesson" "do"]	["lesson" "give"]
["make" "lesson"]	["give" "lesson"]
["lesson" "make"]	["lesson" "give"]
["do" "lesson"]	["have" "lesson"]
["lesson" "do"]	["lesson" "have"]
["make" "lesson"]	["have" "lesson"]
["lesson" "make"]	["lesson" "have"]
let's to	let's
let's	let us
lexicon	dictionary
["liberate" "from"]	["discharge" "from"]
discharge	liberate
liberty	freedom
librarian	bookseller
library	bookcase
bookshop	bookcase
library	bookshop
bookcase	library
lid	cap	top
cover	cap	top
lid	cover
cap	cover
top	cover
["earn" "life"]	["earn" "living"]
["life" "earn"]	["living" "earn"]
make for a living	do for a living
["do" "living"]	["make" "living"]
["living" "do"]	["living" "make"]
living	life
life's aim	aim in life
aim of my life	aim in life
aim of our life	aim in life
aim of your life	aim in life
aim of its life	aim in life
aim of her life	aim in life
aim of his life	aim in life
aim of their life	aim in life
lighten	get lighter
lighten itself	get lighter
lighten themselves	get lighter
like	lie it
I like	I would	I'd like it	I'd like that
we like	we would	we'd like it	we'd like that
like	'd like
I like	I do	I like to
we like	we do	we'd like to
I'd like	I would	I'd like to
we'd like	we would	we'd like to
'd like that I	'd like me to
["would" "like that I"]	["would" "like me to"]
'd like that we	'd like us to
["would" "like that we"]	["would" "like us to"]
'd like that you	'd like you to
["would" "like that you"]	["would" "like you to"]
'd like that it	'd like it to
["would" "like that it"]	["would" "like it to"]
'd like that she	'd like her to
["would" "like that she"]	["would" "like her to"]
'd like that he	'd like him to
["would" "like that he"]	["would" "like him to"]
'd like that they	'd like them to
["would" "like that they"]	["would" "like them to"]
'd like that I should	'd like me to
["would" "like that should"]	["would" "like me to"]
'd like that we should	'd like us to
["would" "like that we should"]	["would" "like us to"]
'd like that you should	'd like you to
["would" "like that you should"]	["would" "like you to"]
'd like that it should	'd like it to
["would" "like that it should"]	["would" "like it to"]
'd like that she should	'd like her to
["would" "like that she should"]	["would" "like her to"]
'd like that he should	'd like him to
["would" "like that he should"]	["would" "like him to"]
'd like that they should	'd like them to
["would" "like that they should"]	["would" "like them to"]
["'d like that" "should"]	["'d like" "to"]
["would like that" "should"]	["would like" "to"]
as	like
lime	file
liquidation	clearance sale
literate	literati
small	short
little	short	young
small	young
lively	animated	unruly
load	charge
unload	discharge
charge	load
discharge	unload
charge	load
logical	reasonable
sensible	reasonable
logical	sensible	reasonable
alone	lone
lonely	lone
long	during
all during night	all night long
during	long
["how much long" "be"]	["how long" "be"]
["how much length" "be"]	["what length" "be"]
have	be	["be" "long"]
much	long
["for" "long"]	["for" "long time"]
["for" "much time"]	["for" "long time"]
a long time	for a long time
["for" "long"]	["" "long"]
["for" "much"]	["" "long"]
["for" "long time"]	["" "long"]	["for" "long"]
look	look after	see
watch	see
see	watch
look at	watch
["watch" "to"]	watch
watch	look at
see	look at
look	look at
["look" "badly"]	["look" "bad"]
["throw" "look at"]	["have" "look at"]	["take" "look at"]
["look" "here"]	["look" "at this"]
["do" "loss"]	["make" "loss"]
["loss" "do"]	["loss" "make"]
lost	at a loss
loud	aloud	loudly
strong	aloud	loudly
aloud	loud	loudly
loud	strong
I love	I do
we love	we do
I love	I do	I love to
we love	we do	we love to
I'd love	I would	I'd love to
we'd love	we would	we'd love to
["do" "love"]	["make" "love"]
["love" "do"]	["love" "make"]
lower	inferior
higher	superior
by luck	luckily
lucky	happy
good	happy
fortunate	lucky
lust	desire
machine	camera
apparatus	camera
photographic machine	camera
photographic apparatus	camera
engine	machine
machinery	piece of machinery
madden	go mad
["go" "mad at"]	["get" "mad at"]
["go" "mad with"]	["get" "mad at"]
["made" "of"]	["made" "from"]	["made" "out of"]
["made" "from"]	["made" "of"]	["made" "out of"]
madness	craze
magazine	shop	department store
department	department store
magazine	storeroom
magical	magic
["majority" "of"]	["most" "of"]
make	cause
["make" "to"]	make	["cause" "to"]
made	made to
make as if	pretend
make that	pretend
pretend	make as if
man	husband
woman	wife
manic	fanatical
maniacal	fanatical
manifestation	demonstration
march	walk
marine	navy
["put" "mark"]	["give" "mark"]
["mark" "put"]	["mark" "give"]
["take" "mark"]	["get" "mark"]
["mark" "take"]	["mark" "get"]
marmalade	jam
orange jam	marmalade
marque	make
brand	make
mark	make
marque	brand
marriage	wedding
marry to	marry
marry with	marry
["get married" "with"]	["get married" "to"]
["married" "with"]	["married" "to"]
martyr	witness
mass	bunch
bouquet of flowers	bouquet
["bouquet of" "flowers"]	["bunch of" "flowers"]
["make" "massage"]	["have" "massage"]
["massage" "make"]	["massage" "have"]
["do" "massage"]	["have" "massage"]
["massage" "do"]	["massage" "have"]
["make" "massage"]	["give" "massage"]
["massage" "make"]	["massage" "give"]
["do" "massage"]	["give" "massage"]
["massage" "do"]	["massage" "give"]
Master	Mr
["make" "Math"]	["do" "Math"]
["take" "Math"]	["do" "Math"]
what have you	what's the matter
no matter	it doesn't matter
mature	ripen	soften
meagre	lean
lean	skinny
meagre	skinny	lean
lean	thin
meagre	thin
["take" "meal"]	["have" "meal"]
["meal" "take"]	["meal" "have"]
mean	think
meaning	opinion	intention
["with" "means"]	["of" "means"]
["with" "goods"]	["of" "means"]
goods	means
means	contacts
make	measure
["remedy" "for"]	["cure" "for"]
meeting	appointment
rendezvous	appointment
conference	meeting
["do" "meeting"]	["have" "meeting"]
["meeting" "do"]	["meeting" "have"]
["make" "meeting"]	["have" "meeting"]
["meeting" "make"]	["meeting" "have"]
conference	lecture
member	limb
memoir	memory
menu	dish of the day
merchant	dealer
trader	dealer
tradesman	dealer
merchant	trader	dealer
tradesman	trader	dealer
be worth	merit	deserve
merit	deserve
don't merit	aren't worth	're not worth
don't deserve	aren't worth	're not worth
["do" "mess of"]	["make" "mess of"]
microbe	germ
bug	germ
middle	average
